config,experiment,agent,env,trainable_parameters,all_parameters
configs/cartpole_mlp_final50.yaml,cartpole_mlp_final50,dqn_mlp,CartPole-v1,44,44
configs/cartpole_vqc_final50.yaml,cartpole_vqc_final50,dqn_vqc,CartPole-v1,46,46
