agent,seeds,episodes,final_mean_reward_mean,final_mean_reward_std,best_reward_mean,total_wall_time_sec_mean
dqn_mlp,3,50,10.933333333333332,0.9073771725877462,68.0,0.7831685643371505
dqn_vqc,3,50,10.9,0.655743852430199,51.0,119.7998273439977
