agent,label,seeds,trainable_parameters,train_final_reward_mean,train_final_reward_std,greedy_eval_reward_mean,greedy_eval_reward_std,best_reward_mean,time_sec_mean,wall_time_per_step_sec_mean,final_epsilon_mean
dqn_mlp,DQN-MLP,6,23,9.566666666666666,0.2309401076758495,225.0666666666667,244.9966115411939,nan,46.98605340733775,0.001411383602758941,0.050000000000000044
dqn_vqc,DQN-VQC,12,28,9.700000000000001,0.20000000000000018,231.9625,216.88998795472327,nan,142.64421524625018,0.06131359913852888,0.050000000000000044
heuristic_policy,Heuristic,3,0,500.0,0.0,500.0,0.0,500.0,0.1431253043410834,nan,nan
random_policy,Random,3,0,20.650000000000002,2.0056171120131587,20.650000000000002,2.0056171120131587,83.33333333333333,0.008100513320338601,nan,nan
