label,method,params,seeds,eval_reward_mean,eval_reward_std,time_sec_mean
Random,Reference,0,3,20.650000000000002,2.0056171120131587,0.008100513320338601
Fuzzy teacher,Reference,0,3,500.0,0.0,0.1431253043410834
Raw DQN-MLP,Reward RL,23,3,9.416666666666668,0.20207259421636883,1.7179493670118973
Raw DQN-VQC L1,Reward RL,22,3,9.450000000000001,0.1802775637731993,75.96746894034247
Distill MLP mem.,Fuzzy distill,23,3,440.7166666666667,102.68174537537494,92.2541574476636
Distill VQC L1 raw,Fuzzy distill,22,3,96.53333333333335,38.13005157790025,87.4379096586684
Distill VQC L1 mem.,Fuzzy distill,22,3,500.0,0.0,165.911383810327
Distill VQC L3 raw,Fuzzy distill,46,3,321.8666666666667,188.68872736158178,241.2600985756629
